requirement,responsibility,from,to
Knowledge of Linux OS and practical experience in troubleshooting OS.  Knowledge of the network stack.  Knowledge of shell scripting/<highlighttext>python</highlighttext>.,"Maintenance and development of the current infrastructure, CI/CD processes. Solving problems of deploying applications in test and production environments. ",6000.0,8000.0
"Опыт разработки дизайна мобильных приложений Android, iOS. Опыт разработки дизайна больших сервисов и порталов. Уверенное владение Figma: умение пользоваться компонентами...",Предстоит работать над интерфейсами интересного продукта с ежемесячной аудиторией более 500 тысяч человек и других продуктов компании. Создание и анализ...,126000.0,126000.0
"Опыт работы с инструментами тестирования API (Postman, Swagger, Wombat и другие). Опыт в области автоматизации тестирования (<highlighttext>Python</highlighttext>). Ответственный подход к...","Взять на себя тестирование в команде. Тестировать Backend, Web и Мобильные проекты компании. Поддерживать в актуальном состоянии тестовую документацию. ",140000.0,140000.0
"Имеешь опыт работы с BI (Tableau / Power BI / DataLens / Metabase). Разбираешься в <highlighttext>Python</highlighttext>, Git. Умеешь представлять результаты своей работы (строить...",Внедрение систем сквозного планирования и контроля метрик. Внедрение методов расчета юнит-экономики коммерческого блока. Внедрение ИИ для проведения исследований и...,200000.0,200000.0
"Продвинутый SQL (PL/SQL, T-SQL), <highlighttext>Python</highlighttext> (pandas/pyspark, matplotlib/seaborn/plotly), HDFS, Hadoop. Желательно знание метрик качества ML – моделей...","Аналитические исследования по направлению поиска. Подготовка проведения и подведение итогов экспериментов, А/Б-тестов. Дизайн и реализация метрик продукта и...",250000.0,320000.0
"Базовые знания HTML, SQL и работы с БД. Знания, навыки автоматизации тестирования. Навыки разработки автоматизированных тестов на <highlighttext>Python</highlighttext>.","Организация и проведение ручного, функционального, исследовательского, регрессионного тестирования, тестирование производительности. Подготовка тестовых данных. Применение методов и инструментов автоматизированного тестирования. ",120000.0,120000.0
"Коммерческий опыт разработки — от 1 года. Коммерческий опыт с Django, DRF. Будет плюсом — навык работы с FastAPI. Понимание процессов непрерывной...",Разработка новых фичей и поддержка внутренних сервисов. Покрытие тестами своего кода. Проведение код-ревью своих коллег. Участие в проектировании архитектуры.,100000.0,100000.0
"Scrapy. Docker, Airflow, Celery, Redis. Postgres. Опыт работы с <highlighttext>Python</highlighttext> от 2х лет. Опыт разработки с использованием FastAPI. ",Разработка и поддержка веб-приложений на <highlighttext>Python</highlighttext>. Разработка и поддержка автоматизации бизнес и технических процессов. Проектирование архитектуры баз данных и...,200000.0,200000.0
"Familiarity with one or more : Scala, Java, Groovy, <highlighttext>Python</highlighttext>, Ruby, etc. Strong knowledge of Linux and command line shell scripting. ","Responsible for complete end-to-end verification of Natera Laboratory Information Management System (LIMS), Cloud analytical platform, and other software...",2000.0,4000.0
Опыт работы от 3 лет; опыт разработки на <highlighttext>Python</highlighttext> от 1 года. Знание основ System Design. Высшее образование в области...,Выстраивание системы мониторинга и аналитики решений: cбор бизнес-требований и определение ключевых метрик для мониторинга продакшен-систем. Построение дашбордов и...,5000.0,7000.0
"В основном проект - чистый JS, немного на vue.js. Сборка осуществляется через gulp. Дизайн: Figma. Общее понимание <highlighttext>Python</highlighttext> Django (основной стек...","Верстка страниц для WEB-сайта по макету Figma. Адаптивная верстка для PC, Tablet, Mobile. Доработка админки Django под задачи организации.",120000.0,120000.0
Знание языка <highlighttext>Python</highlighttext> с опытом работы над собственными проектами. Опыт работы с системой контроля версий GIT. Опыт работы с базами...,Знание языка <highlighttext>Python</highlighttext> с опытом работы над собственными проектами. Опыт работы с системой контроля версий GIT. Опыт работы с базами...,50000.0,50000.0
"Знание bash, <highlighttext>python</highlighttext>, sql. Умение писать скрипты на Bash для автоматизации тестирования. Опыт написания тестов и автоматизации тестирования на <highlighttext>Python</highlighttext>. ",Тестирование и сопровождение системы документооборота (госсектор). - Разработка сценариев тестирования с применением <highlighttext>python</highlighttext> и sql. - Тестирование микросервисов. - Поиск и устранение ошибок...,90000.0,140000.0
Знание английского языка на уровне pre-intermediate и выше. Хорошее знакомство с процессами и методологиями гибкой разработки (Scrum). ,"Работа в команде с выстроенными процессами по дизайну, тестированию и разработке. Разработка b2b продукта с живой ежедневной обратной...",40000.0,60000.0
"Опыт ручного тестирования от 3 лет, желателен также опыт автоматизированного тестирования. Знание инструментов: Selenium, PyTest, <highlighttext>Python</highlighttext>. Понимание принципов разработки ПО...","Автоматизация тестирования: разработка и поддержка тестовых сценариев с использованием PyTest, <highlighttext>Python</highlighttext>. CI/CD: работа с настроенным окружением, интеграция тестов в...",160000.0,260000.0
"Опыт работы в области алгоритмической торговли не менее 2 лет. Глубокие навыки в <highlighttext>Python</highlighttext> и C++, опыт разработки сложных алгоритмов. ",Генерация инновационных торговых идей и исследование непрерывного улучшения торговых стратегий. Разработка сложных функций и моделей машинного обучения. Обратное тестирование и...,150000.0,150000.0
"Уверенные знания : <highlighttext>Python</highlighttext> (FastAPI). - Опыт работы с PostgreSQL. - Знание принципов построения микросервисной архитектуры. - Опыт работы с Docker, понимание CI/CD. - ",Разработка и поддержка новых функциональных модулей системы. Интеграция с внешними API сторонних систем. Оптимизация работы микросервисов и базы данных. ,100000.0,100000.0
Продвинутый пользователь MS Excel. Уверенный пользователь MS SQL. Знание <highlighttext>Python</highlighttext> приветствуется. Опыт написания запросов на языке 1С является преимуществом. ,"Разработка системы отчетности по продуктовому направлению. Разработка новых форм регулярных отчетов и их автоматизация (Excel, MS SQL, 1C). ",200000.0,200000.0
"Опыт в Бизнес/Системной аналитике от 3 лет (как преимущество банковская сфера, анализ данных в сфере платежных систем и платежных...",Построение и описание бизнес-процессов (AS IS и TO BE). Ведение процессов - модерирования платежных потоков и управления рисками. ,4000.0,5000.0
"Знание и понимание языков HTML, CSS, <highlighttext>Python</highlighttext>, PHP, Javascript и SQL. Понимание принципов сетевого взаимодействия – протоколов IP/TCP/UDP, HTTP...","Анализирует поступающие требования на разработку и определяет возможность их реализации. Оценивает время и трудоемкость реализации разработки. Разрабатывает приложения, сервисы, библиотеки...",130000.0,130000.0
"2+ years of React and Typescript experience. Experience with HTML5 and CSS3. <highlighttext>Python</highlighttext>, Node, SQL (bonus). ",We at Podscribe measure advertisers’ campaign performance everywhere from podcasts and videos to social media platforms. We’re involved in...,3000.0,5000.0
Опыт коммерческой разработки подобных ботов. Глубокое понимание возможностей Telegram в части ботов и Mini Apps. Кандидатуры рассматриваются только с портфолио.,"С нуля создать чат-бота в Telegram, используя WebApp и Mini Apps (не на конструкторе). Разработать админ-панель с аналитикой. ",100000.0,200000.0
Высшее техническое образование в области информационных технологий или кибербезопасности. Опыт работы в области сетевой безопасности не менее 3 лет. ,"Управление политиками безопасности: разработка, обновление и внедрение политик и процедур информационной безопасности). Проведение регулярных аудитов и проверок на соответствие существующих...",450000.0,450000.0
"Опыт работы от 1,5 лет и знание: PostgreSQL, MongoDB, REST API, GraphQL, Git. Знание языка <highlighttext>Python</highlighttext> (3.9, Flask...","<highlighttext>Python</highlighttext> на бэкенде, взаимодействие через GraphQL и REST API. SPA на Vue.js + Typescript на фронте и Quasar как библиотека...",120000.0,120000.0
Опыт работы на <highlighttext>Python</highlighttext> от 2-3 лет (Middle) или выше. Глубокие знания и практический опыт работы с: Selenium для...,"Разработка и поддержка клиент-серверных приложений с использованием <highlighttext>Python</highlighttext>. Проектирование и реализация решений для сбора, парсинга и анализа данных (Data...",60000.0,120000.0
"Опыт работы с Hadoop (Spark, HDFS, YARN etc.). Уверенное владеете <highlighttext>Python</highlighttext>(в приоритете)/Scala/Java, SQL. Опыт работы с Kafka...","Разрабатывать и оптимизировать пайплайны обработки данных (как batch, так и streaming). Интегрировать новые источники данных в Data Lake. ",200000.0,200000.0
"Опыт работы от 2-х лет. Знание языков программирования: <highlighttext>Python</highlighttext>,C/C++. Знание и понимание принципов объектно-ориентированного программирования. ",Разработка ПО.,3000.0,3000.0
Требования: богатый жизненный опыт сисадминской работы с сетью минимум из 20 компьютеров сроком от 1 года.,"Увлекательная работа по обслуживанию ИТ-инфраструктуры с элементами искусственного интеллекта, включая ежедневный мониторинг, техподдержку сотрудников, установку ПО, обслуживание оборудования, устранение...",100000.0,111000.0
Основные технические навыки: - Знание <highlighttext>python</highlighttext> 3.11. - ⁠Знание Django 4+. - ⁠Понимание SQL. - ⁠Опыт работы с PostgreSQL. - ⁠Опыт работы с...,Разработка пользовательских интерфейсов для веб-сервисов. — Сопровождение разработанных решений. — Оптимизация старого кода. — Оценка и планирование сроков реализации задач.,100000.0,100000.0
Опыт работы с <highlighttext>Python</highlighttext>. Знание языка запросов SQL. Желание работать и развиваться.,Разработка веб-приложений и сервисов на <highlighttext>Python</highlighttext>. Поддержание и развитие существующих проектов. Написание тестов.,75000.0,75000.0
ОБЯЗАТЕЛЬНО: Способность писать оптимальный и эффективный код на <highlighttext>Python</highlighttext> в условиях жестких сроков. Глубокое знание Pandas и Numpy. ,ОБЯЗАТЕЛЬНО: Способность писать оптимальный и эффективный код на <highlighttext>Python</highlighttext> в условиях жестких сроков. Глубокое знание Pandas и Numpy. ,1000.0,2000.0
Опыт работы с Linux (Ubuntu или Debian). Навыки разработки с использованием стандартных библиотек <highlighttext>python</highlighttext>. Понимание принципов работы системы Честный Знак...,"Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...",180000.0,180000.0
"Project management experience would be a competitive advantage. Technical skills (e.g. <highlighttext>Python</highlighttext>, Pyspark, data modelling etc) would be an...","Management of a team working on a sophisticated IT project, e.g., the development of analytics tools/solutions – from raw...",100000.0,100000.0
"Опыт в написании скриптов на bash и <highlighttext>python</highlighttext>. Опыт работы с ansible, chef. Высшее техническое образование. Знания в области информационной...","Поддержание работоспособности и развитие инфраструктуры. Администрирование серверов и виртуальных машин (linux/windows/VMware). Работа с системами мониторинга, логирования. ",220000.0,220000.0
"Проект динамичный, быстрый цикл релиза функционала, поэтому важно знание используемых технологий на проекте. Требования: Опыт коммерческой разработки от 2-х...",Верстка дизайна приложения с 0 из figma (или другими инструментами для прототипирования).,150000.0,400000.0
"Отличные навыки скриптов (PowerShell, Bash, <highlighttext>Python</highlighttext>). - Опыт работы с системами контроля версий (Git, GitHub, GitLab). - Знание методологий Agile, CI/CD...","Проектирование, построение и поддержка облачной инфраструктуры на платформах AWS. - Автоматизация процессов развертывания, конфигурации и управления инфраструктурой с помощью IaC. - ",400000.0,1000000.0
"Опыт коммерческой разработки от 3 лет. Знание <highlighttext>Python</highlighttext> FastAPI, API, Apache Kafka, Docker, Django. Понимание принципов работы серверов. ","Разработка сервисных приложений. Проработка и реализация архитектурных решений. Анализ требований бизнеса, проработка и предложение оптимальных технических решений. Проведение code review...",200000.0,250000.0
Желательно: - Умение работать с Postman для исследования возможностей интеграции. - Умение применять <highlighttext>Python</highlighttext> для целей анализа данных. - Знание английского языка и...,"Вместе с выделенной фуллстек командой внедрять фичи, повышающие монетизацию проекта. - Придумывать и внедрять механизмы виральности, геймификации и UGC в продукте. - ",200000.0,300000.0
"Понимание жизненного цикла программного обеспечения. Знание основных нотаций описания процессов и ИТ-архитектуры, умение их применять. Умение спроектировать оптимальное техническое...","Проектирование базы данных, анализ алгоритмов, анализ ошибок. Разработка ETL процессов. Проектирование интеграционных потоков. Консультация разработчиков, тестировщиков и заинтересованных лиц по...",380000.0,380000.0
"Опыт работы с API (JSON). Навыки программирования на одном из языков: <highlighttext>Python</highlighttext>, JavaScript, PHP. Желание создавать эффективные и удобные интеграционные...",Разработка интеграций для различных платформ и приложений. Настройка и оптимизация API взаимодействий с нашим сервисом. Тестирование и внедрение новых решений...,300000.0,350000.0
Образование высшее и неоконченное высшее. Грамотную устную и письменную речь. Знание <highlighttext>Python</highlighttext> и/или Apache Superset будут являться преимуществом. ,"Планирование, постановка KPI. Разработка моделей прогнозирования, проведение исследований, сопровождение A/B тестов. Разработка регламентной отчётности и дашбордов.",115000.0,115000.0
"Знание <highlighttext>Python</highlighttext> 3.х. Опыт работы с БД PostgreSQL (Написание процедур, функций, триггеров и вью). Умение работать с системой контроля...",Разработка приложений и скриптов для автоматизации работы с БД. Разработка симулятор и имитаторов внешних систем для автоматизации процессов тестирования ПО. ,65000.0,65000.0
Английский язык: разговорный не ниже B1-B2. Знание SQL и <highlighttext>Python</highlighttext>: для работы с данными и аналитики. ,"Управление департаментом: организация работы команды, поддержание и построение процессов, контроль за выполнением проектов и продуктов. Разработка стратегии: формирование и защита...",10000.0,10000.0
"Знание языка <highlighttext>Python</highlighttext> 3.x. Знание языка SQL (Mysql, PostgreSQL). Знание верстки html. Опыт работы с Django/Django rest framework...","Анализ данных. Разработка приложений, сайтов и внутренних сервисов. Рефакторинг легаси кода, перенос логики на актуальные версии <highlighttext>python</highlighttext> и других стеков...",60000.0,60000.0
"Базовые навыки написания автотестов на Java и/или <highlighttext>Python</highlighttext>. - Умение работать с логами. - Опыт функционального, интеграционного тестирования. - Умение быстро адаптироваться...","Разнообразные проекты и заказчики. Делаем: — Цифровые экосистемы для бизнеса и государства: сайты, порталы, интернет-магазины, мобильные приложения, CRM, ERP, сервисы...",150000.0,180000.0
"Знания в области визуального представления данных и программирования. Уверенное знание <highlighttext>Python</highlighttext> (Jupyter, Pandas, Numpy, Matplotlib, Streamlit), SQL (PostgreSQL, Clickhouse). ","Созданием дашбордов. Автоматизацией процессов и отчетов. Мониторингом ключевых показателей, отчетностью. Тестированием разработанных функций. Визуализацией результатов. Сбором, систематизацией, обработкой и интерпретацией...",135000.0,135000.0
"Знание основы визуального промпт-инженеринга. Опыт программирования на <highlighttext>Python</highlighttext> или др. Уверенный практический опыт работы с GPT-3, GPT-4...",Участие в разработке и внедрении AI решений в бизнес-процессы компании. Разработка и оптимизация промтов: создание точных и эффективных запросов...,120000.0,120000.0
Опыт работы с нейронными сетями. Умение управлять проектами и разрабатывать решения на <highlighttext>Python</highlighttext>. Наличие реализованных проектов с ИИ — большой плюс. ,1. Создание софта для подбора кандидатов на основе анализа резюме. 2. Автоматизация вывода ключевых пунктов из API документации. 3. ,60000.0,200000.0
"Опыт работы числовым аналитиком от 2 лет. Уверенное знание <highlighttext>Python</highlighttext>, SQL. Понимание основ теории вероятностей и мат.статистики. Уже работал с...","Планировать KPI. Разрабатывать модели прогнозирований. Проводить исследования, сопровождать А/В тесты. Разрабатывать отчетность, дашборды. Анализировать и предлагать решения по повышению...",100000.0,100000.0
